segment_id,text,start,duration,vid
1,we're live in Salford for a TV first,11.73,7.439,9kEB5pqWpJw
2,it's Boris Johnson versus Jeremy Corbyn,15.129,8.181,9kEB5pqWpJw
3,the ITV debate,19.169,4.141,9kEB5pqWpJw
4,[Music],25.11,15.2,9kEB5pqWpJw
5,good evening in just over three weeks,43.12,4.57,9kEB5pqWpJw
6,we'll be voting in what many think is,45.68,4.17,9kEB5pqWpJw
7,the most important general election of,47.69,4.799,9kEB5pqWpJw
8,our lifetimes tonight the conservative,49.85,5.099,9kEB5pqWpJw
9,prime minister Boris Johnson and the,52.489,4.951,9kEB5pqWpJw
10,leader of the Labour Party Jeremy Corbyn,54.949,5.25,9kEB5pqWpJw
11,debate face to face responding to,57.44,5.639,9kEB5pqWpJw
12,questions from ITV viewers and you at,60.199,5.271,9kEB5pqWpJw
13,home can take part - using the hashtag,63.079,5.43,9kEB5pqWpJw
14,ITV debate later tonight at 10 o'clock,65.47,5.11,9kEB5pqWpJw
15,you'll be able to see other leaders on,68.509,5.25,9kEB5pqWpJw
16,ITV when Lib Dem Joe Swinson the SMPS,70.58,5.97,9kEB5pqWpJw
17,Nicola Sturgeon the brexit parties Nigel,73.759,5.551,9kEB5pqWpJw
18,Farage and Green Party co-leader Sean,76.55,4.83,9kEB5pqWpJw
19,Barie will be interviewed live by Nina,79.31,4.8,9kEB5pqWpJw
20,Hussain but now it's time for Boris,81.38,5.549,9kEB5pqWpJw
21,Johnson versus Jeremy Corbyn before we,84.11,5.069,9kEB5pqWpJw
22,take our first question tonight they'll,86.929,5.101,9kEB5pqWpJw
23,each now make an opening statement mr.,89.179,5.911,9kEB5pqWpJw
24,Corbyn it's over to you Thank You Julie,92.03,5.369,9kEB5pqWpJw
25,and to everyone watching this debate,95.09,5.88,9kEB5pqWpJw
26,tonight this election gives you a real,97.399,7.11,9kEB5pqWpJw
27,choice about your future the future of,100.97,6.959,9kEB5pqWpJw
28,your community and of our country labour,104.509,7.081,9kEB5pqWpJw
29,is offering real change and real hope we,107.929,5.881,9kEB5pqWpJw
30,will build a fairer Britain that cares,111.59,4.38,9kEB5pqWpJw
31,for all where wealth and power are,113.81,4.77,9kEB5pqWpJw
32,shared the Conservative government is,115.97,5.129,9kEB5pqWpJw
33,failing it's failed on the economy on,118.58,4.98,9kEB5pqWpJw
34,the climate crisis the National Health,121.099,6.121,9kEB5pqWpJw
35,Service and on brexit we will get brexit,123.56,5.94,9kEB5pqWpJw
36,sorted by giving you the people the,127.22,5.22,9kEB5pqWpJw
37,final say and implement whatever you,129.5,6.78,9kEB5pqWpJw
38,decide too many families are without a,132.44,6.36,9kEB5pqWpJw
39,proper home struggling to make ends meet,136.28,5.4,9kEB5pqWpJw
40,while tax cuts are handed to the,138.8,5.64,9kEB5pqWpJw
41,super-rich we can do better than this,141.68,5.82,9kEB5pqWpJw
42,with a Labour government on your side a,144.44,5.28,9kEB5pqWpJw
43,Labour government for the many not just,147.5,8.3,9kEB5pqWpJw
44,the few mr. Corbyn thank you mr. Johnson,149.72,6.08,9kEB5pqWpJw
45,Thank You Julian Thank You mr. Corben,161.81,4.84,9kEB5pqWpJw
46,there's only one reason why we're having,164.52,4.02,9kEB5pqWpJw
47,this election that is that we have a,166.65,4.38,9kEB5pqWpJw
48,deadlocked Parliament that will not,168.54,5.13,9kEB5pqWpJw
49,deliver brexit and whether you voted for,171.03,6,9kEB5pqWpJw
50,leave or remain people want to get a,173.67,6.42,9kEB5pqWpJw
51,brexit done and to unleash the potential,177.03,5.58,9kEB5pqWpJw
52,of this entire country and we,180.09,5.55,9kEB5pqWpJw
